time,FLOW
2014-09-20,0.0343
2014-09-21,0.0319
2014-09-22,0.0288
2014-09-23,0.0271
2014-09-24,0.0267
2014-09-25,0.0262
2014-09-26,0.0252
2014-09-27,0.025
2014-09-28,0.024
2014-09-29,0.0236
2014-09-30,0.0242
2014-10-01,0.0233
2014-10-02,0.0228
2014-10-03,0.0227
2014-10-04,0.0234
2014-10-05,0.0217
2014-10-06,0.0211
2014-10-07,0.0221
2014-10-08,0.0298
2014-10-09,0.0259
2014-10-10,0.0246
2014-10-11,0.025
2014-10-12,0.0297
2014-10-13,0.0317
2014-10-14,0.0338
2014-10-15,0.0522
2014-10-16,0.0449
2014-10-17,0.0398
2014-10-18,0.0379
2014-10-19,0.0369
2014-10-20,0.0359
2014-10-21,0.032
2014-10-22,0.0306
2014-10-23,0.0284
2014-10-24,0.021
2014-10-25,0.0205
2014-10-26,0.0176
2014-10-27,0.0092
2014-10-28,0.0084
2014-10-29,0.0068
2014-10-30,0.0059
2014-10-31,0.006
2014-11-01,0.0095
2014-11-02,0.0065
2014-11-03,0.0053
2014-11-04,0.005
2014-11-05,0.0047
2014-11-06,0.005
2014-11-07,0.005
2014-11-08,0.0054
2014-11-09,0.0054
2014-11-10,0.0056
2014-11-11,0.0054
2014-11-12,0.0054
2014-11-13,0.0048
2014-11-14,0.0056
2014-11-15,0.0056
2014-11-16,0.0052
2014-11-17,0.0085
2014-11-18,0.0079
2014-11-19,0.0066
2014-11-20,0.0061
2014-11-21,0.0061
2014-11-22,0.0065
2014-11-23,0.0064
2014-11-24,0.0138
2014-11-25,0.0082
2014-11-26,0.0193
2014-11-27,0.0165
2014-11-28,0.0119
2014-11-29,0.0095
2014-11-30,0.008
2014-12-01,0.0073
2014-12-02,0.0123
2014-12-03,0.0118
2014-12-04,0.0108
2014-12-05,0.011
2014-12-06,0.0111
2014-12-07,0.0119
2014-12-08,0.0113
2014-12-09,0.012
2014-12-10,0.0117
2014-12-11,0.0121
2014-12-12,0.0117
2014-12-13,0.0112
2014-12-14,0.0125
2014-12-15,0.0111
2014-12-16,0.0109
2014-12-17,0.0123
2014-12-18,0.0138
2014-12-19,0.0152
2014-12-20,0.0151
2014-12-21,0.0145
2014-12-22,0.0153
2014-12-23,0.0162
2014-12-24,0.0213
2014-12-25,0.0227
2014-12-26,0.0212
2014-12-27,0.0205
2014-12-28,0.0195
2014-12-29,0.0209
2014-12-30,0.0224
2014-12-31,0.086
2015-01-01,0.0906
2015-01-02,0.0891
2015-01-03,0.0893
2015-01-04,0.0893
2015-01-05,0.0898
2015-01-06,0.0883
2015-01-07,0.0895
2015-01-08,0.0917
2015-01-09,0.0866
2015-01-10,0.0867
2015-01-11,0.0859
2015-01-12,0.0854
2015-01-13,0.085
2015-01-14,0.0856
2015-01-15,0.0854
2015-01-16,0.0845
2015-01-17,0.084
2015-01-18,0.0832
2015-01-19,0.082
2015-01-20,0.0834
2015-01-21,0.0821
2015-01-22,0.0827
2015-01-23,0.0835
2015-01-24,0.0862
2015-01-25,0.0838
2015-01-26,0.0832
2015-01-27,0.0855
2015-01-28,0.0828
2015-01-29,0.0702
2015-01-30,0.0543
2015-01-31,0.0536
2015-02-01,0.044
2015-02-02,0.0442
2015-02-03,0.047
2015-02-04,0.0403
2015-02-05,0.0398
2015-02-06,0.0392
2015-02-07,0.0324
2015-02-08,0.0313
2015-02-09,0.0305
2015-02-10,0.0317
2015-02-11,0.0315
2015-02-12,0.0305
2015-02-13,0.0336
2015-02-14,0.0304
2015-02-15,0.0424
2015-02-16,0.0353
2015-02-17,0.0457
2015-02-18,0.0328
2015-02-19,0.0347
2015-02-20,0.0313
2015-02-21,0.033
2015-02-22,0.0382
2015-02-23,0.0375
2015-02-24,0.0359
2015-02-25,0.034
2015-02-26,0.0335
2015-02-27,0.0332
2015-02-28,0.0334
2015-03-01,0.0323
2015-03-02,0.0346
2015-03-03,0.0359
2015-03-04,0.0404
2015-03-05,0.0774
2015-03-06,0.1014
2015-03-07,0.0933
2015-03-08,0.0889
2015-03-09,0.0885
2015-03-10,0.0869
2015-03-11,0.0856
2015-03-12,0.0833
2015-03-13,0.0788
2015-03-14,0.0843
2015-03-15,0.086
2015-03-16,0.0815
2015-03-17,0.0789
2015-03-18,0.074
2015-03-19,0.0644
2015-03-20,0.0746
2015-03-21,0.0714
2015-03-22,0.0652
2015-03-23,0.0586
2015-03-24,0.0557
2015-03-25,0.0536
2015-03-26,0.053
2015-03-27,0.09
2015-03-28,0.0941
2015-03-29,0.0864
2015-03-30,0.0817
2015-03-31,0.0783
2015-04-01,0.0705
2015-04-02,0.0634
2015-04-03,0.0606
2015-04-04,0.0601
2015-04-05,0.0526
2015-04-06,0.0463
2015-04-07,0.0508
2015-04-08,0.0528
2015-04-09,0.0635
2015-04-10,0.065
2015-04-11,0.0602
2015-04-12,0.0549
2015-04-13,0.0539
2015-04-14,0.0586
2015-04-15,0.074
2015-04-16,0.0727
2015-04-17,0.0745
2015-04-18,0.0715
2015-04-19,0.0698
2015-04-20,0.1288
2015-04-21,0.0999
2015-04-22,0.0935
2015-04-23,0.0907
2015-04-24,0.0893
2015-04-25,0.0887
2015-04-26,0.09
2015-04-27,0.0891
2015-04-28,0.0874
2015-04-29,0.0857
2015-04-30,0.0844
2015-05-01,0.0879
2015-05-02,0.0858
